system:index,climate_dewpoint_mean,climate_precip_total,climate_temp_mean,file,label,soil_oc,soil_ph,soil_texture,topo_elevation,topo_landforms,.geo
00000000000000000000,279.05698568043675,0.48553203797674627,291.19363045954447,MCTNet_400km2_California_North-1.tif,36,2,76,4,19,24,"{""type"":""Point"",""coordinates"":[-121.81402133780509,38.58996125493343]}"
00000000000000000001,279.1433642879948,0.49853181100225896,290.9942990292557,MCTNet_400km2_California_North-1.tif,36,2,73,4,6,34,"{""type"":""Point"",""coordinates"":[-121.69625201988251,38.58996125493343]}"
00000000000000000002,279.1433642879948,0.49853181100225896,290.9942990292557,MCTNet_400km2_California_North-1.tif,36,2,74,4,9,34,"{""type"":""Point"",""coordinates"":[-121.73946070909041,38.58987207291236]}"
00000000000000000003,279.05698568043675,0.48553203797674627,291.19363045954447,MCTNet_400km2_California_North-1.tif,36,2,75,4,14,34,"{""type"":""Point"",""coordinates"":[-121.78267385739937,38.589782890891286]}"
00000000000000000004,279.1433642879948,0.49853181100225896,290.9942990292557,MCTNet_400km2_California_North-1.tif,36,3,73,4,5,34,"{""type"":""Point"",""coordinates"":[-121.6649045394768,38.589782890891286]}"
00000000000000000005,279.1433642879948,0.49853181100225896,290.9942990292557,MCTNet_400km2_California_North-1.tif,36,2,73,7,6,34,"{""type"":""Point"",""coordinates"":[-121.70811322868468,38.58969370887022]}"
00000000000000000006,279.05698568043675,0.48553203797674627,291.19363045954447,MCTNet_400km2_California_North-1.tif,36,2,74,4,11,34,"{""type"":""Point"",""coordinates"":[-121.75132191789258,38.58960452684915]}"
00000000000000000007,279.05698568043675,0.48553203797674627,291.19363045954447,MCTNet_400km2_California_North-1.tif,36,2,75,4,17,24,"{""type"":""Point"",""coordinates"":[-121.79453060710047,38.58951534482808]}"
00000000000000000008,279.1433642879948,0.49853181100225896,290.9942990292557,MCTNet_400km2_California_North-1.tif,36,3,72,4,5,34,"{""type"":""Point"",""coordinates"":[-121.67676128917792,38.58951534482808]}"
00000000000000000009,279.1433642879948,0.49853181100225896,290.9942990292557,MCTNet_400km2_California_North-1.tif,36,2,73,7,7,34,"{""type"":""Point"",""coordinates"":[-121.7199699783858,38.58942170370596]}"
0000000000000000000a,279.05698568043675,0.48553203797674627,291.19363045954447,MCTNet_400km2_California_North-1.tif,36,2,76,7,13,34,"{""type"":""Point"",""coordinates"":[-121.7631786675937,38.58933252168488]}"
0000000000000000000b,279.05698568043675,0.48553203797674627,291.19363045954447,MCTNet_400km2_California_North-1.tif,36,2,76,4,17,24,"{""type"":""Point"",""coordinates"":[-121.8063873568016,38.589243339663824]}"
0000000000000000000c,279.1433642879948,0.49853181100225896,290.9942990292557,MCTNet_400km2_California_North-1.tif,36,2,74,4,6,24,"{""type"":""Point"",""coordinates"":[-121.68861803887901,38.589243339663824]}"
0000000000000000000d,279.1433642879948,0.49853181100225896,290.9942990292557,MCTNet_400km2_California_North-1.tif,36,2,74,4,9,34,"{""type"":""Point"",""coordinates"":[-121.73182672808692,38.589154157642746]}"
0000000000000000000e,279.05698568043675,0.48553203797674627,291.19363045954447,MCTNet_400km2_California_North-1.tif,36,2,75,7,13,34,"{""type"":""Point"",""coordinates"":[-121.7750354172948,38.58906497562168]}"
0000000000000000000f,279.1433642879948,0.49853181100225896,290.9942990292557,MCTNet_400km2_California_North-1.tif,36,3,73,4,5,34,"{""type"":""Point"",""coordinates"":[-121.65726609937225,38.58906497562168]}"
00000000000000000010,279.1433642879948,0.49853181100225896,290.9942990292557,MCTNet_400km2_California_North-1.tif,36,2,73,4,6,34,"{""type"":""Point"",""coordinates"":[-121.70047478858014,38.58897579360062]}"
00000000000000000011,279.1433642879948,0.49853181100225896,290.9942990292557,MCTNet_400km2_California_North-1.tif,36,2,73,4,11,34,"{""type"":""Point"",""coordinates"":[-121.74368347778803,38.58888661157955]}"
00000000000000000012,279.05698568043675,0.48553203797674627,291.19363045954447,MCTNet_400km2_California_North-1.tif,36,2,77,4,14,24,"{""type"":""Point"",""coordinates"":[-121.78689216699594,38.58879297045742]}"
00000000000000000013,279.1433642879948,0.49853181100225896,290.9942990292557,MCTNet_400km2_California_North-1.tif,36,3,72,4,5,34,"{""type"":""Point"",""coordinates"":[-121.6691228490734,38.58879297045742]}"
00000000000000000014,279.1433642879948,0.49853181100225896,290.9942990292557,MCTNet_400km2_California_North-1.tif,36,2,73,7,6,34,"{""type"":""Point"",""coordinates"":[-121.71233153828123,38.588703788436355]}"
00000000000000000015,279.05698568043675,0.48553203797674627,291.19363045954447,MCTNet_400km2_California_North-1.tif,36,2,74,4,11,34,"{""type"":""Point"",""coordinates"":[-121.7555446865902,38.58861460641529]}"
00000000000000000016,279.05698568043675,0.48553203797674627,291.19363045954447,MCTNet_400km2_California_North-1.tif,36,2,75,4,17,24,"{""type"":""Point"",""coordinates"":[-121.7987533757981,38.58852542439423]}"
00000000000000000017,279.1433642879948,0.49853181100225896,290.9942990292557,MCTNet_400km2_California_North-1.tif,36,2,74,4,6,34,"{""type"":""Point"",""coordinates"":[-121.68098405787552,38.58852542439423]}"
00000000000000000018,279.1433642879948,0.49853181100225896,290.9942990292557,MCTNet_400km2_California_North-1.tif,36,2,74,7,9,34,"{""type"":""Point"",""coordinates"":[-121.72419274708344,38.58843624237315]}"
00000000000000000019,279.05698568043675,0.48553203797674627,291.19363045954447,MCTNet_400km2_California_North-1.tif,36,2,75,7,13,34,"{""type"":""Point"",""coordinates"":[-121.76740143629131,38.58834706035208]}"
0000000000000000001a,279.05698568043675,0.48553203797674627,291.19363045954447,MCTNet_400km2_California_North-1.tif,36,2,76,4,17,24,"{""type"":""Point"",""coordinates"":[-121.81061012549922,38.588257878331014]}"
0000000000000000001b,279.1433642879948,0.49853181100225896,290.9942990292557,MCTNet_400km2_California_North-1.tif,36,2,74,4,6,24,"{""type"":""Point"",""coordinates"":[-121.69284080757664,38.58825787833102]}"
0000000000000000001c,279.1433642879948,0.49853181100225896,290.9942990292557,MCTNet_400km2_California_North-1.tif,36,2,74,4,9,34,"{""type"":""Point"",""coordinates"":[-121.73604949678453,38.588164237208886]}"
0000000000000000001d,279.05698568043675,0.48553203797674627,291.19363045954447,MCTNet_400km2_California_North-1.tif,36,2,75,4,14,34,"{""type"":""Point"",""coordinates"":[-121.77925818599243,38.58807505518782]}"
0000000000000000001e,279.1433642879948,0.49853181100225896,290.9942990292557,MCTNet_400km2_California_North-1.tif,36,3,73,4,5,34,"{""type"":""Point"",""coordinates"":[-121.66148886806988,38.58807505518782]}"
0000000000000000001f,279.1433642879948,0.49853181100225896,290.9942990292557,MCTNet_400km2_California_North-1.tif,36,2,73,7,6,34,"{""type"":""Point"",""coordinates"":[-121.7046975572778,38.58798587316676]}"
00000000000000000020,279.1433642879948,0.49853181100225896,290.9942990292557,MCTNet_400km2_California_North-1.tif,36,2,73,4,11,34,"{""type"":""Point"",""coordinates"":[-121.74790624648563,38.58789669114568]}"
00000000000000000021,279.05698568043675,0.48553203797674627,291.19363045954447,MCTNet_400km2_California_North-1.tif,36,2,77,4,14,24,"{""type"":""Point"",""coordinates"":[-121.79111493569353,38.58780750912461]}"
00000000000000000022,279.1433642879948,0.49853181100225896,290.9942990292557,MCTNet_400km2_California_North-1.tif,36,3,72,4,5,34,"{""type"":""Point"",""coordinates"":[-121.67334561777098,38.5878075091246]}"
00000000000000000023,279.1433642879948,0.49853181100225896,290.9942990292557,MCTNet_400km2_California_North-1.tif,36,2,73,7,7,34,"{""type"":""Point"",""coordinates"":[-121.71655430697886,38.587718327103545]}"
00000000000000000024,279.05698568043675,0.48553203797674627,291.19363045954447,MCTNet_400km2_California_North-1.tif,36,2,76,7,13,34,"{""type"":""Point"",""coordinates"":[-121.75976299618675,38.58762914508248]}"
00000000000000000025,279.05698568043675,0.48553203797674627,291.19363045954447,MCTNet_400km2_California_North-1.tif,36,2,76,4,17,24,"{""type"":""Point"",""coordinates"":[-121.80297168539465,38.58753550396035]}"
00000000000000000026,279.1433642879948,0.49853181100225896,290.9942990292557,MCTNet_400km2_California_North-1.tif,36,2,74,4,6,34,"{""type"":""Point"",""coordinates"":[-121.6852023674721,38.58753550396035]}"
00000000000000000027,279.1433642879948,0.49853181100225896,290.9942990292557,MCTNet_400km2_California_North-1.tif,36,2,74,7,9,34,"{""type"":""Point"",""coordinates"":[-121.72841551578101,38.58744632193928]}"
00000000000000000028,279.05698568043675,0.48553203797674627,291.19363045954447,MCTNet_400km2_California_North-1.tif,36,2,75,7,13,34,"{""type"":""Point"",""coordinates"":[-121.77162420498895,38.58735713991821]}"
00000000000000000029,279.1433642879948,0.49853181100225896,290.9942990292557,MCTNet_400km2_California_North-1.tif,36,3,73,4,5,34,"{""type"":""Point"",""coordinates"":[-121.65385488706636,38.58735713991821]}"
0000000000000000002a,279.1433642879948,0.49853181100225896,290.9942990292557,MCTNet_400km2_California_North-1.tif,36,2,73,4,6,34,"{""type"":""Point"",""coordinates"":[-121.69706357627425,38.587267957897154]}"
0000000000000000002b,279.1433642879948,0.49853181100225896,290.9942990292557,MCTNet_400km2_California_North-1.tif,36,2,73,4,11,34,"{""type"":""Point"",""coordinates"":[-121.74027226548213,38.587178775876076]}"
0000000000000000002c,279.05698568043675,0.48553203797674627,291.19363045954447,MCTNet_400km2_California_North-1.tif,36,2,75,4,14,34,"{""type"":""Point"",""coordinates"":[-121.78348095469003,38.587089593855]}"
0000000000000000002d,279.1433642879948,0.49853181100225896,290.9942990292557,MCTNet_400km2_California_North-1.tif,36,3,73,4,5,34,"{""type"":""Point"",""coordinates"":[-121.66571163676748,38.587089593855]}"
0000000000000000002e,279.1433642879948,0.49853181100225896,290.9942990292557,MCTNet_400km2_California_North-1.tif,36,2,73,7,6,34,"{""type"":""Point"",""coordinates"":[-121.70892032597537,38.58700041183394]}"
0000000000000000002f,279.05698568043675,0.48553203797674627,291.19363045954447,MCTNet_400km2_California_North-1.tif,36,2,74,4,11,34,"{""type"":""Point"",""coordinates"":[-121.75212901518326,38.586906770711806]}"
00000000000000000030,279.05698568043675,0.48553203797674627,291.19363045954447,MCTNet_400km2_California_North-1.tif,36,2,75,4,17,24,"{""type"":""Point"",""coordinates"":[-121.79533770439114,38.58681758869075]}"
00000000000000000031,279.1433642879948,0.49853181100225896,290.9942990292557,MCTNet_400km2_California_North-1.tif,36,2,74,4,6,34,"{""type"":""Point"",""coordinates"":[-121.67756838646861,38.58681758869075]}"
00000000000000000032,279.1433642879948,0.49853181100225896,290.9942990292557,MCTNet_400km2_California_North-1.tif,36,2,73,7,7,34,"{""type"":""Point"",""coordinates"":[-121.7207770756765,38.58672840666968]}"
00000000000000000033,279.05698568043675,0.48553203797674627,291.19363045954447,MCTNet_400km2_California_North-1.tif,36,2,76,7,13,34,"{""type"":""Point"",""coordinates"":[-121.76398576488435,38.58663922464861]}"
00000000000000000034,279.05698568043675,0.48553203797674627,291.19363045954447,MCTNet_400km2_California_North-1.tif,36,2,76,4,17,24,"{""type"":""Point"",""coordinates"":[-121.80719445409225,38.58655004262754]}"
00000000000000000035,279.1433642879948,0.49853181100225896,290.9942990292557,MCTNet_400km2_California_North-1.tif,36,2,74,4,6,24,"{""type"":""Point"",""coordinates"":[-121.6894251361697,38.58655004262754]}"
00000000000000000036,279.1433642879948,0.49853181100225896,290.9942990292557,MCTNet_400km2_California_North-1.tif,36,2,74,4,9,34,"{""type"":""Point"",""coordinates"":[-121.73263382537762,38.58646086060647]}"
